,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
70,SOFTWARE ENGINEER (VISION),"FA Systems Automation
2.2",2.2,"Roles and responsibilities:
To do conceptual and detailed vision software design for machines.
To perform software installation, testing, and debugging;
To perform on-site service and support.
Job Requirements:
Degree/Diploma in Mechatronics, Computer Science, Engineering;
Min 3-4 years working experience in writing C#/C++ programming for vision applications for alignment, measurement and defect inspection, etc;
Experience with image processing and integrating commercially available machine vision packages. Halcon, Euresys Open eVision，Cognex, and OpenCV knowledge preferred;
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
71,Senior Analyst Programmer (.Net),"Philip Securities Pte Ltd.
3.5",3.5,"Key Responsibilities:
Responsible working closely with Business Analyst, Business users, Project Manager to understand URS, provide solutions if necessary and coordinates with overseas teams
Lead a team of developer(s) in analyzing, development, delegation and monitoring of Team tasks
Provides timely project updates, proper planning and execution
Provides 1st level support, lead troubleshooting and resolving reported/encountered issues
Validate source codes, lead system integration and provide guidance to team members
Opportunity to work in our US office
Qualification and Skills:
Show More
Report",$44K - $72K (Glassdoor Est.),Singapore,3.2,3.0,3.2,2.9,3.9,"['""Great superior and colleagues are very fun"" (in 3 reviews)', '""Great environment and team in department"" (in 2 reviews)', -1, -1, -1]","['""Low salary compared to competitor and very manual processing system in place"" (in 5 reviews)', '""Company culture is not strong enough."" (in 3 reviews)', '""It is an unpaid internship"" (in 1 reviews)', -1, -1]",1 to 50 Employees,2014,Company - Private,Investment & Asset Management,Finance,$5 to $25 million (USD)
72,Regional Senior Manager – Systems Development,"Lockton, Inc.
4.1",4.1,"General information
Reference
002148
Vacancy location
Location
Asia, Singapore, Singapore
Work Place

Show More
Report",$119K - $156K (Glassdoor Est.),Singapore,4.0,3.9,4.2,3.8,3.7,"['""Great culture and pay and benefits"" (in 24 reviews)', '""Great people to work with"" (in 18 reviews)', '""Good pay and great hours."" (in 15 reviews)', '""good benefits"" (in 10 reviews)', '""Good work life balance"" (in 11 reviews)']","['""Different business model from other brokerage firms which creates an entirely different culture."" (in 24 reviews)', '""Pay could be better but that comes in time and performance."" (in 15 reviews)', '""Pay and benefits lacked industry standards"" (in 10 reviews)', '""work/life balance and a large work load"" (in 11 reviews)', -1]",10000+ Employees,1966,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD)
73,.Net Developer,PeopleScope (Asia) Pte Ltd,-1,"Job Description:
Job Descriptions and Responsibilities
Participate in System Documentation, Design, Development, Testing and Maintenance.
Develop new solutions and new functionality in the existing solution based on business needs and detailed
functional design.
Collaborate with internal teams to produce system design and architecture.
Write clean, scalable code, high-standard, maintainable and reusable code using .NET programming languages.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
74,IT Programmers,KGN INTEGRATED ENGINEERING PTE. LTD.,-1,"Working Experience And Skill Requirement IT Programmer
a. Must be able to speak and write English proficiently;
b. Have at least three (3) years' post graduate experience working with Personal computers or compatibles;
c. Have at least three (3) years' post graduate experience using MS OS such as Windows 7 or higher and Microsoft Outlook;
d. Able to conduct unit, module, functional and volume testing; to analyze test results and to take corrective action.
For Java Requirement
Show More
Report",Employer Provided Salary:$7K - $12K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
75,IT Programmer,Primarius Search Consultancy,-1,"(MS SQL/SQL* PLUS/2yrs exp/Hospitality)

Job description:
Maintain, update and repair existing programs/applications
Develop computer programs/applications when required
Perform system analysis and design based on company’s requirements.
Design, develop and implement new programs/applications
Liaise with various vendors

Requirements:
Minimum 2 years of experience in handling MS SQL, SQL*PLUS and programming SQL extraction
Knowledge in Business Intelligence such as TM1 Cognos or QlikView or Tableau
Good communication and interpersonal skills
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,Unknown,Unknown / Non-Applicable,-1,-1,-1
76,Senior Software Developer,ASSIMILATED TECHNOLOGIES (S) PTE LTD,-1,"Responsibilities:
Develop applications using backend development kits for smartcards, reader devices, biometric sensors, etc
Develop software solutions by studying information needs; conferring with users; studying systems flow, data usage, and work processes; investigating problem areas; following the software development lifecycle
Provide engineering support when building, deploying, configuring, and supporting systems for customers
Responding promptly and professionally to bug reports
Test new software programs to ensure that logic and syntax are correct, and that program results are accurate; assists lower-level programmers with programming assignments
Show More
Report",Employer Provided Salary:$4K - $8K,Singapore,2.1,1.8,2.1,2.5,3.8,"['""""Some"" of the staffs are very helpful and friendly."" (in 1 reviews)', -1, -1, -1, -1]","['""Not much of Benefits, Medical and transport claim only."" (in 1 reviews)', '""NO AWS and variable bonus"" (in 1 reviews)', -1, -1, -1]",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
77,Lead Programmer,KOTORIX SOFTWARE PTE. LTD.,-1,"Responsibility: Have either personal or professional experiences with unreal engine 5 and is able to teach junior programmers the skill trait.

Manage and mentor a small team of Programmers.

Set clear vision for projects and provide feedback, direction and constructive critique to the team.

Coordinate the visual creation of projects from conception to delivery.





























Show More
Report",Employer Provided Salary:$5K - $6K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
78,GIS Programmer,"AECOM
3.8",3.8,"Company Description

At AECOM, we’re delivering a better world.

We believe infrastructure creates opportunity for everyone. Whether it’s improving your commute, keeping the lights on, providing access to clean water or transforming skylines, our work helps people and communities thrive.

Our clients trust us to bring together the best people, ideas, technical expertise and digital solutions to our work in transportation, buildings, water, the environment and new energy. We’re one global team – 47,000 strong – driven by a common purpose to deliver a better world.

Here, you will have freedom to grow in a world of opportunity.

We will give you the flexibility you need to do your best work with hybrid work options. Whether you’re working from an AECOM office, remote location or at a client site, you will be working in a dynamic environment where your integrity, entrepreneurial spirit and pioneering mindset are championed.

You will help us foster a culture of equity, diversity and inclusion – a safe and respectful workplace, where we invite everyone to bring their whole selves to work using their unique talents, backgrounds and expertise to create transformational outcomes for our clients.

We will encourage you to grow and develop your career with us through our technical and professional development programs and diverse career opportunities. We believe in leadership at all levels. No matter where you sit in the organization you can make a lasting impact on the projects you work on, the teams and committees you join and our business.

We offer competitive pay and benefits, well-being programs to support you and your family, and the development resources you need to advance your career.

When you join us, you will connect and collaborate with a global network of experts – planners, designers, engineers, scientists, consultants, program and construction managers – leading the change toward a more sustainable and equitable future. Join us and let’s get started.

Job Description

Responsibilities

Our Digital Solutions team has an opportunity for experienced Software Developers with Geographical Information System (GIS) experience to grow their career in a global organisation. As part of this role you will design, develop and maintain a variety of GIS applications for a range of clients. You will work with a diverse range of groups across the engineering, design and construction industry, enabling you to build your career.

Your passion for driving innovation and bringing your ideas to fruition to support business growth will be the keys to your success in this role.

With guidance and supervision from the senior staff, to

+ Develop GIS-based software tools, particularly to solve AEC industry related problems

+ Ensure the developed applications perform efficiently and are easily maintained

+ Perform system analysis and design

+ Capable to communicate effectively to capture users’ requirements

+ Prepare system manuals and related documentations

+ Provide end-user technical support on programming related activities

+ Website development and contents management

Qualifications

+ Degree in Geo-Informatics, Computer Science, Land Survey or Engineering related fields

+ Proven knowledge and 2-4 years of working experience with .NET (C# or VB.Net), Python and/or JavaScript programming

+ Fluent in applying SQL statement for data manipulations

+ Software development experience with using Esri products, preferably ArcGIS REST API, ArcGIS API for JavaScript and Portal for ArcGIS

+ Additional experience in using FME is a strong advantage

+ Additional experience in implementing open-source GIS solutions/datasets is a strong advantage

+ Additional experience in processing photogrammetry or point cloud data is a strong advantage

+ Additional experience in Engineering or CAD/BIM related software is an advantage

+ Additional experience in mobile apps development is an advantage

+ Good team player, proactive, strong self-motivation and willing to learn

+ Sense of ownership and pride in your performance

Additional Information

With infrastructure investment accelerating worldwide, our services are in great demand, and there’s never been a better time to be at AECOM! Join us, and you’ll get all the benefits of being a part of a global, publicly traded firm – access to industry-leading technology and thinking and transformational work with big impact and work flexibility.

AECOM provides a wide array of compensation and benefits programs to meet the diverse needs of our employees and their families. We also provide a robust global well-being program. We’re the world’s trusted global infrastructure firm, and we’re in this together – your growth and success are ours too.

As an Equal Opportunity Employer, we believe in each person’s potential, and we’ll help you reach yours.

Join us and let’s get started.

J10089476

Transportation

DCS

Asia

Digital & Engineering Technology

On-Site
Show More
Report",$48K - $88K (Glassdoor Est.),Singapore,3.8,3.5,3.7,3.4,3.6,"['""Good benefits and people, you just have to find them yourself"" (in 27 reviews)', '""Salary is decent I think"" (in 44 reviews)', '""Good flexible workplace Good management"" (in 16 reviews)', '""Good work life balance, work on internazional projects."" (in 28 reviews)', '""Most of the people are great."" (in 23 reviews)']","['""Low Pay, Benefits, pay increases, run of the mill corporation"" (in 27 reviews)', '""Low salary but constant work"" (in 44 reviews)', '""Bad management"" (in 16 reviews)', '""No work life balance at all and very low efficiency in management and cooperation between groups"" (in 28 reviews)', '""Everything is ok, people is nice."" (in 23 reviews)']",10000+ Employees,1990,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$10+ billion (USD)
79,Lotus Notes,Ownway Pte Ltd,-1,"Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser
Internet Explorer version 11 or higher

Programming Language














































Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
80,DevOps Engineer,"NTT SINGAPORE PTE. LTD.
3.0",3.0,"The DevOps Engineer consults with internal clients about the software technology environment with medium to high complexity. They translate business requirements into technology terms and develop more complex algorithms and programming code for software solutions. The primary objective of the DevOps Engineer is to design, test, implement and maintain software code that enables computer systems to perform specific tasks. They assist with determining how technology can be applied to meet client needs.
The individual in this role will participate in the planning, design, build, test, and implementation of the assigned enterprise applications and/or systems. They will be required to perform most of the tasks defined in the planned agile epic workload or the project, gathering facts, analyzing client requirements, and then designing, building, and supporting solutions that demonstrate the functionality to support the findings.
Show More
Report",Employer Provided Salary:$5K - $9K,Singapore,4.0,3.0,3.0,3.0,3.0,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['""Not a lot of career progression or attempts to retain current professionals"" (in 1 reviews)', '""No proper hikes, no work life balance, no enjoyment only work, work and work"" (in 1 reviews)', -1, -1, -1]",1001 to 5000 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
81,IT Programmers,"ALLTECH SYSTEMS PTE. LTD.
2.7",2.7,"Job Description & Requirements

Working Experience And Skill Requirement IT Programmer
a. Must be able to speak and write English proficiently;
b. Have at least three (3) years' post graduate experience working with Personal computers or compatibles;
c. Have at least three (3) years' post graduate experience using MS OS such as Windows 7 or higher and Microsoft Outlook;
Show More
Report",Employer Provided Salary:$7K - $12K,Singapore,2.5,1.0,1.5,1.0,2.5,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]",201 to 500 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
82,IT Programmers,KOH INFRASTRUCTURE SERVICES PTE. LTD.,-1,"Job Description & Requirements
Working Experience And Skill Requirement IT Programmer
a. Must be able to speak and write English proficiently;
b. Have at least three (3) years' post graduate experience working with Personal computers or compatibles;
c. Have at least three (3) years' post graduate experience using MS OS such as Windows 7 or higher and Microsoft Outlook;
d. Able to conduct unit, module, functional and volume testing; to analyze test results and to take corrective action.
Show More
Report",Employer Provided Salary:$7K - $12K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
83,Sharepoint Server Administration Programmer,Mathaniyun Pte Ltd,-1,"Non-Enterprise Server Environment
Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser





























Show More
Report",-1,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
84,Analyst Programmer,I-CONSULT TECH PTE. LTD.,-1,"Job Description:
We are seeking for a resourceful, experienced and committed individual to design and develop software/system as well as to provide support for the company’s existing projects.

Responsibilities:
To participate in the requirement gathering, design and development
Perform application development and enhancement
To lead the development team for system implementation


Show More
Report",Employer Provided Salary:$4K - $5K,Singapore,3.7,3.1,4.8,3.3,3.8,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,2008,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
85,Applications/Systems Programmer (Postgre SQL/Sybase DBA),"KRIS INFOTECH PTE. LTD.
3.4",3.4,"Job Description:
The Programmer has a wide spectrum of responsibilities and actions.
Person will be responsible for following (but not limited to) responsibilities in day-to-day work.
As the Programmer of the team, he/she:
Act as the last level of escalation for the team members own Incident, Problem and change management process for the team assigns technical tasks and manages delegation animates the team to encourage collaboration and sharing of practices participates to recruitment process for the team
As the Programmer of his/her scope of activity, he/she:
Is actively involved in incident management (fault investigation, resolution escalations of all monitoring alerts and user initiated problem calls/tickets) and request management.


Show More
Report",Employer Provided Salary:$7K - $10K,Singapore,3.4,3.5,3.4,3.5,3.3,"['""Smooth and quick hiring process, helpful recruiting teams."" (in 3 reviews)', '""Supportive team"" (in 1 reviews)', '""Awesome place and great leadership"" (in 1 reviews)', -1, -1]","['""Career growth is very gradual"" (in 1 reviews)', '""tedious hr process when doing timesheet"" (in 1 reviews)', -1, -1, -1]",51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
86,IT Programmers,"FOCUS INTEGRATED HEALTHCARE PTE. LTD.
2.9",2.9,"Job Description & Requirements
Working Experience And Skill Requirement IT Programmer
a. Must be able to speak and write English proficiently;
b. Have at least three (3) years' post graduate experience working with Personal computers or compatibles;
c. Have at least three (3) years' post graduate experience using MS OS such as Windows 7 or higher and Microsoft Outlook;
d. Able to conduct unit, module, functional and volume testing; to analyze test results and to take corrective action.
Show More
Report",Employer Provided Salary:$4K - $7K,Singapore,3.5,2.9,3.1,3.1,3.1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
87,Full Stack Programmer - J41769,"ScienTec Consulting
3.8",3.8,"We are looking for a Full Stack Programmer to onboard with one of Singapore largest R&D Government Agency!

Opportunity to gain exposure on multiple government projects
Good working environment and culture
Salary up to $8k
West area working location

We are looking for a full stack programmer, with following qualification:

Minimum 3 years of working experience in C#/Java development

Show More
Report",Employer Provided Salary:$8K,Singapore,3.4,3.7,3.3,3.6,3.4,"['""2. Good benefits"" (in 1 reviews)', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
88,Technical Support Programmer (.NET),"TRINITY CONSULTING SERVICES PTE. LTD.
4.1",4.1,"Position: Technical Support Programmer
Company background: IT Solutions
Office location: Walking distance from Lavender MRT Station
Salary range: Up to SGD3000
DUTIES & RESPONSIBLITIES
To upkeep and perform system maintenance of security and parking systems, and provide day-to-day system/technical support to users on all system related enquiries.
Assist in resolving software related technical issues with customers, contractors and vendors.
Able to provide necessary training to teammates and end-users.
Show More
Report",Employer Provided Salary:$3K - $3K,Singapore,3.8,3.5,4.1,3.5,4.1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
89,Lotus Notes Programmers,Mathaniyun Pte Ltd,-1,"Non-Enterprise Server Environment
Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser
















































Show More
Report",-1,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
90,Lead Rendering Programmer,"Ubisoft
3.8",3.8,"Company Description

Ubisoft’s 21,000 team members, working across more than 40 locations around the world, are bound by a common mission to enrich players’ lives with original and memorable gaming experiences. Their dedication and talent have brought to life many acclaimed franchises such as Assassin’s Creed, Far Cry, Watch Dogs, Just Dance, Rainbow Six, and many more to come. Ubisoft is an equal opportunity employer that believes diverse backgrounds and perspectives are key to creating worlds where both players and teams can thrive and express themselves. If you are excited about solving game-changing challenges, cutting-edge technologies, and pushing the boundaries of entertainment, we invite you to join our journey and help us create the unknown.
Since opening its doors in 2008, Ubisoft Singapore has become the biggest AAA game development studio in Southeast Asia. The 500-strong studio is home to 35+ different nationalities focused on delivering ambitious gaming experiences to our players. Ubisoft Singapore has been contributing to all the Assassin’s Creed® titles since Assassin’s Creed® II. It innovated within the franchise as the studio behind the naval battle gameplay and water technology in Assassin’s Creed® III, Assassin’s Creed® IV Black Flag® and most recently in Assassin’s Creed® Valhalla. Its expertise in AAA and live operations, combined with a passion for naval gameplay, pushed the team to lead the development of Skull and Bones™ revealed at E3 in 2017.






Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",10000+ Employees,1986,Company - Public,Video Game Publishing,Media & Communication,$2 to $5 billion (USD)
91,JAVA Programmers,Mathaniyun Pte Ltd,-1,"Non-Enterprise Server Environment
Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser















































Show More
Report",-1,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
92,Microsoft SQL Server (2008 R2 or above) Programmers,Mathaniyun Pte Ltd,-1,"Non-Enterprise Server Environment
Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser















































Show More
Report",-1,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
93,"Blockchain Solution Architect / Technical Architect, Technology Consulting","EY
3.9",3.9,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

Whole industries have been disrupted and transformed in recent years by digital technology.
As a Technology Consulting professional, you’ll help businesses realize the value they can gain from their IT investments — supporting strategy and being a key growth driver. As part of a high-performing team, you’ll deliver exceptional client service — providing advice on how technology enablement, digital transformation and enterprise intelligence contribute to performance improvement, as well as how IT can act as multiplying effect during major program transformations.











Show More
Report",$84K - $142K (Glassdoor Est.),Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Unknown,Unknown / Non-Applicable,-1,-1,-1
94,Senior Game Designer,KOTORIX SOFTWARE PTE. LTD.,-1,"About us:
We are a new upstart game development company, Kotorix Softwares, that dreams to make what games are supposed to be. Fun. We are developing a hack and slash rpg game that focuses on itemization as well as satisfying combat system. We are looking for a lead and Co-lead game designers to mentor and build this game

Responsibility:

Have either personal or professional experiences with unreal engine 5 and is able to teach junior programmers the skill trait.





























































Show More
Report",Employer Provided Salary:$5K - $6K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
95,Analyst Programmer (RPG/AS400) (Ref: TH25),"E-Cruit Team Pte Ltd
5.0",5.0,"Providing training and support to end-users
Analyse, design and implement legacy application systems
Continuous improvement to processes and practices with new ideas, concepts and methods
Preparation of user and system documentation
Any adhoc duties as assigned
Requirements:
Degree/Diploma in Computer Studies or relevant field
Min 2 years programming experience in RPG on IBM AS400/System i environment
Experience in Lotus Notes, Java and other Web Application development tools is an added advantage
Show More
Report",Employer Provided Salary:$4K - $8K,Bedok New Town,5.0,5.0,5.0,5.0,5.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
96,Software Programmer,"Talentvis
3.6",3.6,"Permanent
IT Engineers (Software/Applications/Database)
IT Engineers (System/Network/Hardware)
Salary Range
S$ 3,000 - S$ 4,500
Location
Singapore
Date Posted


Show More
Report",Employer Provided Salary:$3K - $5K,Singapore,3.4,3.4,3.6,3.3,3.4,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
97,Analyst Programmer,Workle Pte Ltd,-1,"Location: Bedok
Monday to Friday 8AM-5PM
Job Scope:
Analyse, design and implement changes to legacy application systems
Provide training and support to end-users
Prepare user and system documentation
Requirements
Degree/Diploma in Computer Studies or its equivalent
Show More
Report",Employer Provided Salary:$4K - $6K,Bedok New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
98,Senior Rendering Programmer,"Ubisoft
3.8",3.8,"Company Description

Ubisoft’s 21,000 team members, working across more than 40 locations around the world, are bound by a common mission to enrich players’ lives with original and memorable gaming experiences. Their dedication and talent have brought to life many acclaimed franchises such as Assassin’s Creed, Far Cry, Watch Dogs, Just Dance, Rainbow Six, and many more to come. Ubisoft is an equal opportunity employer that believes diverse backgrounds and perspectives are key to creating worlds where both players and teams can thrive and express themselves. If you are excited about solving game-changing challenges, cutting-edge technologies, and pushing the boundaries of entertainment, we invite you to join our journey and help us create the unknown.
Since opening its doors in 2008, Ubisoft Singapore has become the biggest AAA game development studio in Southeast Asia. The 500-strong studio is home to 35+ different nationalities focused on delivering ambitious gaming experiences to our players. Ubisoft Singapore has been contributing to all the Assassin’s Creed® titles since Assassin’s Creed® II. It innovated within the franchise as the studio behind the naval battle gameplay and water technology in Assassin’s Creed® III, Assassin’s Creed® IV Black Flag® and most recently in Assassin’s Creed® Valhalla. Its expertise in AAA and live operations, combined with a passion for naval gameplay, pushed the team to lead the development of Skull and Bones™ revealed at E3 in 2017.






Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",10000+ Employees,1986,Company - Public,Video Game Publishing,Media & Communication,$2 to $5 billion (USD)
99,Application Analyst & Designer,"U3 Infotech Pte Ltd.
4.5",4.5,"Job Objectives
Gather and analyze users requirements and prepare/update Functional Specifications
Perform technical analysis and design and prepare/update System Technical Specifications
Design and develop quality jobs and programs
Conduct Unit testing and SIT and support UAT activities
Environment setup & readiness
Plan and perform program implementation
Provide post implementation support.

Key Responsibilities
A team player as well as ability to work independently to meet pre-determined targets and deliverables timeline
Assisting in defining system scope and objectives; researching and fact-finding; analyzing business and user requirements for complex projects, managing requirements and projects by conducting thorough testing of related applications.
Critical examination of requirements and understanding operations and systems.
Responsible for gathering requirement, design preparation and discussion with stakeholders
Create and modify procedures to solve problems considering technical capacity and limitations, and deliver quality software.
Implementing solutions that align with the organization's business objectives.

-
Bachelor’s degree in computer science/engineering.
Experience in AS400/iSeries database and operation system for at least 5 years.
Experience in system architecture and design. Job Description – Analyst Programmer/Tester
Hands on experience in ALDON & Control-M and technically proficient.
Requires superior analytics and problem-solving skills. Must be attentive to details.
Ability to work in a fast-paced, team-oriented environment.
A strong & assertive communicator in speaking & writing

-
Good documentation skills
Well versed with Microsoft Office applications, MS Teams
Broad knowledge of hardware, software and programming;
Banking knowledge in Loans products and Credit Administration process will be added advantage.

-
Working experience on OS/400 and RPG and COBOL programming
Show More
Report",$32K - $48K (Glassdoor Est.),Singapore,4.4,4.0,4.2,4.3,4.3,"['""Recruitment process was smooth and the management is very cooperative."" (in 5 reviews)', '""Lousy working environment and lazy human resources, who are stupid and lazy and idiot, and irresponsible"" (in 5 reviews)', '""Ease of communication."" (in 7 reviews)', -1, -1]","['""Mentioned salary is negotiable but end up non"" (in 5 reviews)', '""Doesn\'t care about employees"" (in 4 reviews)', -1, -1, -1]",201 to 500 Employees,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1
100,"GMC Inspire Designer, HP Exstream Programmers",Mathaniyun Pte Ltd,-1,"Non-Enterprise Server Environment
Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser





























Show More
Report",-1,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
101,Product Specialist,INFODECK TECHNOLOGY PTE. LTD.,-1,"Product/Solution Specialist - Infodeck Technology

We are seeking a specialist in product management to report to the Solutions Manager at Infodeck Technology. The incumbent shall be responsible for product design, requirements gathering, and collaborating with programmers for managing milestones and product revisions.

Requirements:
To be a successful Product Specialist at Infodeck Technology, you will need excellent communication and organizational skills. You must also have an aptitude for understanding customer needs and a passion for product development. In addition, you should possess the following qualifications:













Show More
Report",Employer Provided Salary:$4K - $5K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
102,Senior System Analyst (.Net),"People Profilers
4.2",4.2,"Job Description:
Job Responsibilities:
Manage a team of application developers to support companys in-house applications
Ensure program requirement specification is correctly documented and clearly communicated to programmer
Assign development work to programmer, monitor progress and ensure program is delivered on time, thoroughly tested and according to specification
In-depth knowledge in software development cycle, process mapping and implementation to post live support.
Develop solutions by evaluating existing workflow and processes; define and analyze logical problems; designing and testing solutions








Show More
Report",$91K (Glassdoor Est.),Singapore,4.2,4.0,4.3,4.2,4.4,"['""Overall office is like a family environment, friendly colleagues and decent benefits."" (in 3 reviews)', '""Great team to work with!"" (in 11 reviews)', '""Office space is okay to be in"" (in 5 reviews)', -1, -1]","['""Commission scheme isn\'t the most fantastic within the industry."" (in 5 reviews)', '""Flexi benefits $500 per year, this is the only benefit in PP, nothing else."" (in 3 reviews)', '""Training is very dependable on which team you join."" (in 11 reviews)', '""Some managers are known for Micro"" (in 6 reviews)', -1]",1 to 50 Employees,2002,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
