,Job Title,Company,Company Rating,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews
483,Software Developer (PHP),BITWALLET PTE. LTD.,-1,Employer Provided Salary:$5K - $7K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
484,Junior Web Developer,"BLACKWELL GLOBAL SERVICES PTE. LTD.
3.8",3.8,Employer Provided Salary:$2K - $4K,Singapore,2.6,2.8,3.7,3.6,4.4,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
485,Senior AI Model Developer & Data Scientist,"UBS AG
3.9",3.9,Employer Provided Salary:$7K - $13K,Singapore,3.6,3.2,4.1,3.6,3.9,"['""Culture and exposure are good"" (in 137 reviews)', '""Great people at the company"" (in 90 reviews)', '""Good salary (compared to peers)"" (in 103 reviews)', '""Hours work life balance is good"" (in 74 reviews)', '""Good benefits and good employees!"" (in 41 reviews)']","['""Culture at office wasn\'t always great."" (in 137 reviews)', '""People are generally unmotivated in Operations; Wage is mediocre; Heavy workload"" (in 90 reviews)', '""low salary not forward"" (in 103 reviews)', '""Work life balance is good"" (in 74 reviews)', '""The base salary might be attractive, but there are little to no additional benefits in a place like this."" (in 41 reviews)']"
486,Fullstack Developer - Training Provided,"GECO Asia
3.9",3.9,-1,Outram Park,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
487,Software developer (Calypso) 2608,"ASPIRE NXT PTE. LTD.
2.9",2.9,Employer Provided Salary:$8K - $9K,Singapore,2.9,2.3,2.8,2.6,3.0,"['""Learn new more technologies and friendly in nature but assign more than one project...there is no one specific RM."" (in 4 reviews)', '""The leadership teams are very approachable even for a new joinee."" (in 3 reviews)', -1, -1, -1]","['""No salary (number one cheeting company if they don\'t have project so they won\'t pay you )"" (in 6 reviews)', '""No work life balance"" (in 2 reviews)', '""In addition, the HR management was often unresponsive and unprofessional, making it extremely challenging to resolve any workplace"" (in 4 reviews)', -1, -1]"
488,System Analyst JR 18566,"INFOGAIN SOLUTIONS PTE. LIMITED
2.4",2.4,Employer Provided Salary:$7K - $10K,Singapore,2.8,2.2,3.0,3.2,3.2,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
489,Software Developer Java Full Stack - 2723,"ASPIRE NXT PTE. LTD.
2.9",2.9,Employer Provided Salary:$5K - $8K,Singapore,2.9,2.3,2.8,2.6,3.0,"['""Learn new more technologies and friendly in nature but assign more than one project...there is no one specific RM."" (in 4 reviews)', '""The leadership teams are very approachable even for a new joinee."" (in 3 reviews)', -1, -1, -1]","['""No salary (number one cheeting company if they don\'t have project so they won\'t pay you )"" (in 6 reviews)', '""No work life balance"" (in 2 reviews)', '""In addition, the HR management was often unresponsive and unprofessional, making it extremely challenging to resolve any workplace"" (in 4 reviews)', -1, -1]"
490,"System Analyst (JT) (Agile Digital Banking, Java)","A-IT SOFTWARE SERVICES PTE LTD
3.0",3.0,Employer Provided Salary:$6K - $8K,Singapore,2.7,2.7,2.5,2.2,1.9,"['""Highly Processed oriented, Excellent Team of HR."" (in 1 reviews)', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
491,Senior Software Developer (PHP),BITWALLET PTE. LTD.,-1,Employer Provided Salary:$7K - $9K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
492,Information Technology - Mobile Applications Developer (Android),"Singapore Airlines
3.8",3.8,$89K - $132K (Glassdoor Est.),Singapore,3.1,3.5,3.3,3.1,3.6,"['""Good benefits and strong union support"" (in 9 reviews)', '""Work life balance is very good"" (in 10 reviews)', '""good bonus good colleagues good learning"" (in 10 reviews)', -1, -1]","['""Mostly under contract and salary is average."" (in 12 reviews)', '""Company does not layoff people during the pandemic which is good"" (in 7 reviews)', -1, -1, -1]"
493,Product Manager,"NET6TEM PTE. LTD.
5.0",5.0,Employer Provided Salary:$10K - $20K,Singapore,5.0,4.0,5.0,5.0,4.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
494,Senior Java Developer,"M-DAQ PTE. LTD.
3.5",3.5,Employer Provided Salary:$7K - $14K,Singapore,3.4,3.3,3.3,3.1,4.1,"['""Challenging and engaging work with a lot of things to be done and improve on."" (in 1 reviews)', '""Good perks, food, open to ideas"" (in 1 reviews)', '""The company offers flexible working arrangements, which can be helpful for employees with personal commitments."" (in 1 reviews)', '""A good work environment with good co"" (in 1 reviews)', -1]","['""Another issue that is particularly concerning is that how much you are compensated will determine how much work you are expected to do, rather than how much value you bring to the organization."" (in 1 reviews)', -1, -1, -1, -1]"
495,Web Development Engineer,Equotix Pte Ltd,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
496,Frontend Developer,"Rapsys Technologies
4.7",4.7,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
497,Back-end Developer,"Bamboo System Technology
4.0",4.0,$42K - $72K (Glassdoor Est.),Geylang Serai,5.0,5.0,5.0,5.0,5.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
498,"Software Engineer, Product",Mobbin,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
499,Backend Developer,FLASH CONCEPTS PTE. LTD.,-1,Employer Provided Salary:$5K,Bishan New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
500,Cloud Backend Developer,"Axrail Pte Ltd
3.5",3.5,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
501,Web Front-end Developer Engineer,"Digispark Technology Co., Ltd",-1,$30K - $84K (Glassdoor Est.),Outram Park,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
502,Software Engineer Intern,Mobbin,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
503,Research Engineer II (Computer Science),"Nanyang Technological University
3.9",3.9,-1,Singapore,-1,-1,-1,-1,-1,"['""A lot of money for research and good salaries"" (in 230 reviews)', '""Work life balance is good"" (in 198 reviews)', '""Good working environment"" (in 198 reviews)', '""NTU has advanced facilities for research and friendly colleagues."" (in 74 reviews)', -1]","['""low salary and very comeptitive"" (in 230 reviews)', '""No work life balance"" (in 198 reviews)', '""No career progression due to contract nature"" (in 164 reviews)', '""Average working environment, too many people"" (in 198 reviews)', '""Colleagues are easy to work with"" (in 74 reviews)']"
504,Sitecore Developer,"Avanade
4.1",4.1,$71K - $95K (Glassdoor Est.),Singapore,4.1,4.0,4.3,3.9,4.0,"['""Good benefits and an easy job"" (in 49 reviews)', '""Most people are great and helpful when needed"" (in 56 reviews)', '""+ Good salary"" (in 67 reviews)', '""Good work life balance"" (in 46 reviews)', '""Great Culture and Environment."" (in 43 reviews)']","['""Good benefits and great mindset"" (in 49 reviews)', '""Salary not competitive"" (in 67 reviews)', '""My work life balance was great but I didn\'t see an avenue to advance and keep a work life balance, a lot of my seniors seemed to dedicate most of their time to work."" (in 46 reviews)', '""Projects working with Accenture are often bad due to the bad culture there"" (in 43 reviews)', -1]"
505,Frontend Developer,"Quess Corp Limited
3.5",3.5,Employer Provided Salary:$8K,Singapore,3.3,3.0,3.2,3.1,3.3,"['""Salary is good if you have Knowledge"" (in 62 reviews)', '""Cool management."" (in 27 reviews)', '""No benefits at all from the organization they will not even reach out to the resources once deployed to the client location"" (in 18 reviews)', '""work life balance is good"" (in 18 reviews)', -1]","['""More work less salary at client location"" (in 62 reviews)', '""Worst Management and they don\'t have basic antiques to talk with employees."" (in 27 reviews)', '""No benefits, No sick leaves, No casual leaves, Only earned leaves which will not be encashed even when you resign."" (in 18 reviews)', '""No job security"" (in 19 reviews)', '""work life balance is good"" (in 18 reviews)']"
506,Front-end Developer,"Bamboo System Technology
4.0",4.0,$30K - $84K (Glassdoor Est.),Geylang Serai,5.0,5.0,5.0,5.0,5.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
507,Back End Developers,"TroyTech International Consulting
3.7",3.7,$60K - $96K (Glassdoor Est.),Singapore,2.8,2.7,3.1,3.1,2.9,"['""Great working place for you"" (in 1 reviews)', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
508,Information Technology - Mobile Applications Developer,"Singapore Airlines
3.8",3.8,$89K - $96K (Glassdoor Est.),Singapore,3.1,3.5,3.3,3.1,3.6,"['""Good benefits and strong union support"" (in 9 reviews)', '""Work life balance is very good"" (in 10 reviews)', '""good bonus good colleagues good learning"" (in 10 reviews)', -1, -1]","['""Mostly under contract and salary is average."" (in 12 reviews)', '""Company does not layoff people during the pandemic which is good"" (in 7 reviews)', -1, -1, -1]"
509,Full Stack Developer,"Quess Corp Limited
3.5",3.5,Employer Provided Salary:$8K,Singapore,3.3,3.0,3.2,3.1,3.3,"['""Salary is good if you have Knowledge"" (in 62 reviews)', '""Cool management."" (in 27 reviews)', '""No benefits at all from the organization they will not even reach out to the resources once deployed to the client location"" (in 18 reviews)', '""work life balance is good"" (in 18 reviews)', -1]","['""More work less salary at client location"" (in 62 reviews)', '""Worst Management and they don\'t have basic antiques to talk with employees."" (in 27 reviews)', '""No benefits, No sick leaves, No casual leaves, Only earned leaves which will not be encashed even when you resign."" (in 18 reviews)', '""No job security"" (in 19 reviews)', '""work life balance is good"" (in 18 reviews)']"
510,Senior Software Engineering Manager,Agritech Startup,-1,Employer Provided Salary:$6K - $9K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
511,MERN Full Stack Developer- WORK FROM HOME,"Bookipi
5.0",5.0,Employer Provided Salary:$50K - $65K,Singapore,4.6,4.4,5.0,4.6,4.6,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
512,Summit Developer and Release Engineer,"ANTAES ASIA PTE. LTD.
4.5",4.5,Employer Provided Salary:$7K - $14K,Singapore,4.2,4.3,4.5,4.5,4.6,"['""Many opportunities for growth."" (in 1 reviews)', '""3. Very supportive and helpful HR team 4. Provides best compensation based on your experience and technical skill set 5. Share continues feedback and help to provide options to improve if required."" (in 1 reviews)', '""2. Very good management."" (in 1 reviews)', -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
513,Junior Web Developer,"BLACKWELL GLOBAL SERVICES PTE. LTD.
3.8",3.8,Employer Provided Salary:$2K - $4K,Singapore,2.6,2.8,3.7,3.6,4.4,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
514,Senior AI Model Developer & Data Scientist,"UBS AG
3.9",3.9,Employer Provided Salary:$7K - $13K,Singapore,3.6,3.2,4.1,3.6,3.9,"['""Culture and exposure are good"" (in 137 reviews)', '""Great people at the company"" (in 90 reviews)', '""Good salary (compared to peers)"" (in 103 reviews)', '""Hours work life balance is good"" (in 74 reviews)', '""Good benefits and good employees!"" (in 41 reviews)']","['""Culture at office wasn\'t always great."" (in 137 reviews)', '""People are generally unmotivated in Operations; Wage is mediocre; Heavy workload"" (in 90 reviews)', '""low salary not forward"" (in 103 reviews)', '""Work life balance is good"" (in 74 reviews)', '""The base salary might be attractive, but there are little to no additional benefits in a place like this."" (in 41 reviews)']"
515,Software developer (Calypso) 2608,"ASPIRE NXT PTE. LTD.
2.9",2.9,Employer Provided Salary:$8K - $9K,Singapore,2.9,2.3,2.8,2.6,3.0,"['""Learn new more technologies and friendly in nature but assign more than one project...there is no one specific RM."" (in 4 reviews)', '""The leadership teams are very approachable even for a new joinee."" (in 3 reviews)', -1, -1, -1]","['""No salary (number one cheeting company if they don\'t have project so they won\'t pay you )"" (in 6 reviews)', '""No work life balance"" (in 2 reviews)', '""In addition, the HR management was often unresponsive and unprofessional, making it extremely challenging to resolve any workplace"" (in 4 reviews)', -1, -1]"
516,Senior Software Developer (PHP),BITWALLET PTE. LTD.,-1,Employer Provided Salary:$7K - $9K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
517,Fullstack Developer - Training Provided,"GECO Asia
3.9",3.9,-1,Outram Park,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
518,Software Developer (PHP),BITWALLET PTE. LTD.,-1,Employer Provided Salary:$5K - $7K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
519,"System Analyst (JT) (Agile Digital Banking, Java)","A-IT SOFTWARE SERVICES PTE LTD
3.0",3.0,Employer Provided Salary:$6K - $8K,Singapore,2.7,2.7,2.5,2.2,1.9,"['""Highly Processed oriented, Excellent Team of HR."" (in 1 reviews)', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
520,Product Manager,"NET6TEM PTE. LTD.
5.0",5.0,Employer Provided Salary:$10K - $20K,Singapore,5.0,4.0,5.0,5.0,4.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
521,System Analyst JR 18566,"INFOGAIN SOLUTIONS PTE. LIMITED
2.4",2.4,Employer Provided Salary:$7K - $10K,Singapore,2.8,2.2,3.0,3.2,3.2,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
522,Senior Java Developer,"M-DAQ PTE. LTD.
3.5",3.5,Employer Provided Salary:$7K - $14K,Singapore,3.4,3.3,3.3,3.1,4.1,"['""Challenging and engaging work with a lot of things to be done and improve on."" (in 1 reviews)', '""Good perks, food, open to ideas"" (in 1 reviews)', '""The company offers flexible working arrangements, which can be helpful for employees with personal commitments."" (in 1 reviews)', '""A good work environment with good co"" (in 1 reviews)', -1]","['""Another issue that is particularly concerning is that how much you are compensated will determine how much work you are expected to do, rather than how much value you bring to the organization."" (in 1 reviews)', -1, -1, -1, -1]"
523,Information Technology - Mobile Applications Developer (Android),"Singapore Airlines
3.8",3.8,$89K - $132K (Glassdoor Est.),Singapore,3.1,3.5,3.3,3.1,3.6,"['""Good benefits and strong union support"" (in 9 reviews)', '""Work life balance is very good"" (in 10 reviews)', '""good bonus good colleagues good learning"" (in 10 reviews)', -1, -1]","['""Mostly under contract and salary is average."" (in 12 reviews)', '""Company does not layoff people during the pandemic which is good"" (in 7 reviews)', -1, -1, -1]"
524,Sitecore Developer,"Avanade
4.1",4.1,$71K - $95K (Glassdoor Est.),Singapore,4.1,4.0,4.3,3.9,4.0,"['""Good benefits and an easy job"" (in 49 reviews)', '""Most people are great and helpful when needed"" (in 56 reviews)', '""+ Good salary"" (in 67 reviews)', '""Good work life balance"" (in 46 reviews)', '""Great Culture and Environment."" (in 43 reviews)']","['""Good benefits and great mindset"" (in 49 reviews)', '""Salary not competitive"" (in 67 reviews)', '""My work life balance was great but I didn\'t see an avenue to advance and keep a work life balance, a lot of my seniors seemed to dedicate most of their time to work."" (in 46 reviews)', '""Projects working with Accenture are often bad due to the bad culture there"" (in 43 reviews)', -1]"
525,Software Developer Java Full Stack - 2723,"ASPIRE NXT PTE. LTD.
2.9",2.9,Employer Provided Salary:$5K - $8K,Singapore,2.9,2.3,2.8,2.6,3.0,"['""Learn new more technologies and friendly in nature but assign more than one project...there is no one specific RM."" (in 4 reviews)', '""The leadership teams are very approachable even for a new joinee."" (in 3 reviews)', -1, -1, -1]","['""No salary (number one cheeting company if they don\'t have project so they won\'t pay you )"" (in 6 reviews)', '""No work life balance"" (in 2 reviews)', '""In addition, the HR management was often unresponsive and unprofessional, making it extremely challenging to resolve any workplace"" (in 4 reviews)', -1, -1]"
526,Frontend Developer,"Rapsys Technologies
4.7",4.7,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
527,Web Development Engineer,Equotix Pte Ltd,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
528,Web Front-end Developer Engineer,"Digispark Technology Co., Ltd",-1,$30K - $84K (Glassdoor Est.),Outram Park,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
529,Back-end Developer,"Bamboo System Technology
4.0",4.0,$42K - $72K (Glassdoor Est.),Geylang Serai,5.0,5.0,5.0,5.0,5.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
530,Software Engineer Intern,Mobbin,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
531,Front-end Developer,"Bamboo System Technology
4.0",4.0,$30K - $84K (Glassdoor Est.),Geylang Serai,5.0,5.0,5.0,5.0,5.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
532,"Software Engineer, Product",Mobbin,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
533,Frontend Developer,"Quess Corp Limited
3.5",3.5,Employer Provided Salary:$8K,Singapore,3.3,3.0,3.2,3.1,3.3,"['""Salary is good if you have Knowledge"" (in 62 reviews)', '""Cool management."" (in 27 reviews)', '""No benefits at all from the organization they will not even reach out to the resources once deployed to the client location"" (in 18 reviews)', '""work life balance is good"" (in 18 reviews)', -1]","['""More work less salary at client location"" (in 62 reviews)', '""Worst Management and they don\'t have basic antiques to talk with employees."" (in 27 reviews)', '""No benefits, No sick leaves, No casual leaves, Only earned leaves which will not be encashed even when you resign."" (in 18 reviews)', '""No job security"" (in 19 reviews)', '""work life balance is good"" (in 18 reviews)']"
534,Backend Developer,FLASH CONCEPTS PTE. LTD.,-1,Employer Provided Salary:$5K,Bishan New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
535,Web Developer,"Dow Technologies and Systems
4.5",4.5,$35K - $57K (Glassdoor Est.),Singapore,4.4,4.2,4.7,4.2,4.7,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
536,Research Engineer II (Computer Science),"Nanyang Technological University
3.9",3.9,-1,Singapore,-1,-1,-1,-1,-1,"['""A lot of money for research and good salaries"" (in 230 reviews)', '""Work life balance is good"" (in 198 reviews)', '""Good working environment"" (in 198 reviews)', '""NTU has advanced facilities for research and friendly colleagues."" (in 74 reviews)', -1]","['""low salary and very comeptitive"" (in 230 reviews)', '""No work life balance"" (in 198 reviews)', '""No career progression due to contract nature"" (in 164 reviews)', '""Average working environment, too many people"" (in 198 reviews)', '""Colleagues are easy to work with"" (in 74 reviews)']"
537,Business Analyst/ Project Manager (Capital Market),"KEYRUS SINGAPORE PTE. LTD.
4.2",4.2,Employer Provided Salary:$6K - $12K,Singapore,3.9,3.7,4.3,3.9,4.2,"['""Great experience ; Great people"" (in 5 reviews)', '""The money is good."" (in 3 reviews)', '""Many opportunities Many good customers Good environment Nice coworkers and managers"" (in 1 reviews)', -1, -1]","['""No career path in since the company was created"" (in 2 reviews)', '""The culture and incentives are designed to motivate you to have no work/life balance, and punish you if you prioritize balance."" (in 1 reviews)', -1, -1, -1]"
538,"Contract QC Specialist (LIMS Data Management, Pharma MNC) #HCG","Recruit Express
3.3",3.3,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
539,Full Stack / Front or Back End Developers (Analyst – Specialist/Team Lead),"Accenture
4.0",4.0,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
540,UNITY GAME DEVELOPER,Mixed Realms,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
541,Software Developer,"Titansoft Singapore
4.2",4.2,Employer Provided Salary:$5K - $6K,Singapore,3.8,4.1,4.2,3.8,3.7,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
542,Developer,"COMPIT CONSULTANTS PTE LTD
3.3",3.3,Employer Provided Salary:$6K - $8K,Singapore,3.9,3.6,4.3,3.9,3.6,"['""Very friendly and helpful to growing career"" (in 1 reviews)', '""nice team learning good and fast"" (in 1 reviews)', -1, -1, -1]","['""They have very low level managemnet."" (in 1 reviews)', '""short breaks less long time for descision"" (in 1 reviews)', -1, -1, -1]"
543,Senior Java Developer,"M-DAQ PTE. LTD.
3.5",3.5,Employer Provided Salary:$7K - $14K,Singapore,3.4,3.3,3.3,3.1,4.1,"['""Challenging and engaging work with a lot of things to be done and improve on."" (in 1 reviews)', '""Good perks, food, open to ideas"" (in 1 reviews)', '""The company offers flexible working arrangements, which can be helpful for employees with personal commitments."" (in 1 reviews)', '""A good work environment with good co"" (in 1 reviews)', -1]","['""Another issue that is particularly concerning is that how much you are compensated will determine how much work you are expected to do, rather than how much value you bring to the organization."" (in 1 reviews)', -1, -1, -1, -1]"
544,Personal Assistant (PA),BRAINWAVE MC PTE. LTD.,-1,Employer Provided Salary:$2K - $4K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
545,Software Engineer,ImmeVR Pte Ltd,-1,-1,Geylang Serai,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
546,Senior Software Developer,"Titansoft Pte Ltd
4.2",4.2,Employer Provided Salary:$6K - $11K,Singapore,3.8,4.1,4.2,3.8,3.7,"['""Good learning opportunity"" (in 5 reviews)', '""Friendly colleagues"" (in 3 reviews)', '""Good management"" (in 2 reviews)', -1, -1]","['""Pay is very average."" (in 2 reviews)', '""Even though for some projects, the development plans could be orchestrated with longer timeline, but the managers didn\'t want to and forced developers to work on weekend instead."" (in 3 reviews)', -1, -1, -1]"
547,Unity Developer,"Augmentus
5.0",5.0,Employer Provided Salary:$5K - $7K,Queenstown Estate,4.7,4.7,5.0,4.8,5.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
548,Front End Developer,SHUN TAI TECHNOLOGY PTE. LTD.,-1,Employer Provided Salary:$3K - $6K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
549,Game Developer (Unity),"Slash
5.0",5.0,-1,Remote,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
550,Game Operations Specialist (Genshin Impact) - Fresh Grad,"HoYoverse
3.7",3.7,$52K - $124K (Glassdoor Est.),Singapore,3.9,3.7,3.7,3.7,3.2,"['""·Good colleagues who are very fun and helpful"" (in 1 reviews)', '""·Good welfare and salary package"" (in 1 reviews)', '""·You can play games or listen to music whenever you like in the workplace"" (in 1 reviews)', -1, -1]","['""·Majority of the employees are Chinese, but still respect to people from different culture and race"" (in 1 reviews)', -1, -1, -1, -1]"
551,Software Engineer,"ST Engineering Group
3.1",3.1,$49K - $60K (Glassdoor Est.),Singapore,2.9,2.7,2.8,2.6,3.4,"['""Good work life balance and well being"" (in 170 reviews)', '""my colleagues are friendly and willing to teach"" (in 141 reviews)', '""That is a decent salary for a fresh grad start so not bad"" (in 204 reviews)', '""life balance (depends on the project and department), sometimes management allows you to try new things."" (in 116 reviews)', -1]","['""No work life balance in recent years"" (in 170 reviews)', '""Your colleagues are probably here because they lack experience, got retrenched or are some contracted"" (in 141 reviews)', '""Low salary and shift job"" (in 204 reviews)', '""poor management and no direction of what to do for the workload that you have"" (in 116 reviews)', '""Slow career progression which I think is solely and mainly based on time spent in the company"" (in 168 reviews)']"
552,Software Developer- Application Design,"Eames Consulting
4.6",4.6,Employer Provided Salary:$8K,Singapore,4.2,4.5,4.7,4.7,4.8,"['""Great working environment"" (in 3 reviews)', '""International platform which cares employees a lot"" (in 2 reviews)', '""Training budget, good company benefits"" (in 1 reviews)', '""eFinancialCareers allows people to grow and take on new challenges always working on projects that will improve the candidate and recruiter experience"" (in 1 reviews)', -1]","['""Unclear career paths and progression, but the definition of those is in progress."" (in 2 reviews)', -1, -1, -1, -1]"
553,Game Operations Specialist (Genshin Impact) - Fresh Grad,"COGNOSPHERE PTE. LTD.
3.7",3.7,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
554,Senior Games Programmer,BRAINWAVE MC PTE. LTD.,-1,Employer Provided Salary:$5K - $9K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
555,Game Developer Intern,Starpixel Pte Ltd,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
556,Angular Developer,Cresco Data,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
557,Game Operation Specialist,"Udream Entertainment Pte., Ltd",-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
558,Software Engineer,"Singapore Technologies Engineering Ltd
3.1",3.1,$49K - $60K (Glassdoor Est.),Singapore,2.9,2.7,2.8,2.6,3.4,"['""Good work life balance and well being"" (in 170 reviews)', '""my colleagues are friendly and willing to teach"" (in 141 reviews)', '""That is a decent salary for a fresh grad start so not bad"" (in 204 reviews)', '""life balance (depends on the project and department), sometimes management allows you to try new things."" (in 116 reviews)', -1]","['""No work life balance in recent years"" (in 170 reviews)', '""Your colleagues are probably here because they lack experience, got retrenched or are some contracted"" (in 141 reviews)', '""Low salary and shift job"" (in 204 reviews)', '""poor management and no direction of what to do for the workload that you have"" (in 116 reviews)', '""Slow career progression which I think is solely and mainly based on time spent in the company"" (in 168 reviews)']"
559,Software / Game Developer,Microtube Technologies Pte Ltd,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
560,Backend Developer,INSPIRE RECRUITMENT CONSULTING PTE. LTD.,-1,Employer Provided Salary:$4K - $7K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
561,Unity Game Developer,"GAMETION GLOBAL TECHNOLOGIES PTE. LIMITED
3.9",3.9,Employer Provided Salary:$3K - $6K,Singapore,3.7,3.5,3.4,3.1,3.4,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
562,Senior Software Developer,"Titansoft Singapore
4.2",4.2,Employer Provided Salary:$7K - $11K,Singapore,3.8,4.1,4.2,3.8,3.7,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
563,Site Reliability Engineer,"Razer USA Ltd.
4.0",4.0,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
564,Python Engineer,"Hudson River Trading
4.3",4.3,$100K - $121K (Glassdoor Est.),Singapore,4.1,4.6,3.9,4.2,3.7,"['""Great culture, great people and work"" (in 5 reviews)', '""Good company, great people, very open"" (in 8 reviews)', '""benefits are good."" (in 3 reviews)', '""good pay"" (in 3 reviews)', '""All details were transparent and clear."" (in 3 reviews)']","['""toxic and elitist culture where only people who graduate from well"" (in 5 reviews)', '""smart people, some of whom are too sure of their knowledge &amp; have to be right."" (in 8 reviews)', -1, -1, -1]"
